source;target;Dijkstra time;Dijkstra iteration;Dijkstra path weight;Dijkstra path length;Bidirectional Dijkstra time;Bidirectional Dijkstra iteration;Bidirectional Dijkstra path weight;Bidirectional Dijkstra path length
77;6749;1;2235;2901;29;8;914;2901;29
6206;3994;0;2270;3524;37;12;1429;3524;37
6428;2465;10;4525;3999;39;0;2032;3999;39
7738;9149;10;2932;3356;31;8;1540;3356;31
5281;930;11;3365;4434;37;1;2487;4434;37
8019;3779;20;7348;8305;77;17;5776;8305;77
25;2839;3;3426;3499;38;8;1666;3499;38
8143;236;0;564;2039;21;8;392;2039;21
3259;2717;8;3825;4362;45;8;2779;4362;45
3271;2890;8;5117;6024;54;16;3607;6024;54
825;5825;16;7948;8640;84;16;6716;8640;84
3228;8050;9;2839;3191;34;0;1110;3191;34
6782;263;16;4866;5142;52;9;3003;5142;52
199;1231;16;9577;8480;69;16;5932;8480;69
6807;7353;19;9179;9781;80;29;7261;9781;80
30;2889;17;8464;8259;70;17;6441;8259;70
895;5055;17;6092;4932;45;11;3463;4932;45
8995;9308;8;3447;3987;36;8;2313;3987;36
7155;2600;13;5531;6014;58;8;4279;6014;58
342;201;17;4856;5125;51;8;3693;5125;51
1268;5699;19;7019;5868;55;9;3390;5868;55
2427;838;10;3280;4259;42;1;2257;4259;42
6234;7884;20;8112;8741;81;21;6511;8741;81
7142;4274;0;3133;3345;34;9;1358;3345;34
6789;9958;20;9293;8340;74;18;6532;8340;74
195;6937;8;2243;3845;36;4;1531;3845;36
1359;9969;16;4532;4160;38;6;1869;4160;38
6306;9856;17;8779;9162;78;18;6411;9162;78
6878;3561;8;6095;8066;76;17;4354;8066;76
8767;398;16;7381;7313;68;16;4801;7313;68
342;123;28;9028;8033;75;25;6053;8033;75
1744;5992;24;9421;9310;88;16;5440;9310;88
298;1204;16;9985;9236;85;21;5873;9236;85
4983;3031;0;2150;3557;37;8;1629;3557;37
642;6343;17;6677;7039;64;16;5538;7039;64
55;5255;10;7389;8643;57;19;4211;8643;57
5369;2443;8;6112;6571;58;17;5177;6571;58
5124;2271;16;7642;8870;69;16;6066;8870;69
3854;1743;8;2487;3389;29;10;1582;3389;29
8803;7592;18;6639;5035;48;16;3266;5035;47
8378;1131;13;9593;10930;103;21;7409;10930;103
2576;2235;19;7678;7942;75;21;6166;7942;75
9601;8916;0;1618;2594;22;8;834;2594;22
