source;target;Dijkstra time;Dijkstra iteration;Dijkstra path weight;Dijkstra path lengthBidirectional Dijkstra time;Bidirectional Dijkstra iteration;Bidirectional Dijkstra path weight;Bidirectional Dijkstra path length
9601;8916;5;1618;2594;22;2;835;2594;22
6287;2716;20;7087;9659;90;16;5637;9659;90
7921;3371;20;8965;6426;64;12;3727;6426;64
2842;2285;19;9564;8142;74;19;5977;8142;75
1992;4180;18;8489;7368;63;19;5650;7368;63
4937;8960;3;1249;2113;21;2;634;2113;21
5314;3150;8;2395;4482;40;8;2060;4482;40
511;2077;20;8435;7902;64;20;6162;7902;64
2463;7923;9;3005;3347;29;4;1092;3347;29
4401;9772;14;5549;6316;50;14;4418;6316;50
5987;3133;19;7921;8366;77;20;6755;8366;77
2849;320;20;9530;6591;59;13;4135;6591;59
4167;963;9;2873;3754;35;7;1900;3754;35
7897;2257;18;9206;9215;87;24;7020;9215;87
9870;9775;17;7043;6948;58;18;4810;6948;58
5220;1203;2;389;1162;13;2;186;1162;13
6962;350;9;2657;3821;38;7;1999;3821;38
3446;8216;19;9391;10070;92;21;6805;10070;92
2508;1347;14;5446;6669;63;14;4324;6669;63
9995;1471;10;4027;4413;40;8;2150;4413;40
1970;6040;19;9707;10868;98;23;7565;10868;98
7757;3303;18;8140;6642;62;15;4953;6642;62
7002;2706;0;134;696;9;1;74;696;9
6351;1428;18;8304;8601;80;19;6015;8601;80
3693;975;17;6495;7907;64;15;3912;7907;64
2806;6412;17;7340;7845;81;19;6108;7845;81
2183;2255;3;1171;3352;20;4;844;3352;20
7064;8159;10;4046;3895;34;13;2152;3895;34
6971;61;13;4093;4599;43;10;2384;4599;43
7692;6385;2;727;1868;17;3;480;1868;17
6515;1016;13;5182;6143;54;14;3975;6143;54
8961;9766;19;9171;7756;69;21;5850;7756;69
4789;4370;20;7537;7380;67;14;4139;7380;67
8859;6984;5;1402;3222;32;5;1199;3222;33
1602;8916;0;150;708;9;0;83;708;9
9688;7592;9;3138;5390;43;9;2591;5390;43
5192;1900;4;1022;2887;29;3;823;2887;29
4512;7711;14;4861;4338;39;7;1849;4338;39
7495;1092;3;866;1780;18;2;499;1780;18
2011;63;19;8688;9664;82;21;6886;9664;82
1360;4976;5;2080;2850;23;5;1179;2850;23
3628;5899;16;6021;7632;61;16;4773;7632;61
9736;9332;23;9448;7797;73;18;5275;7797;73
75;1199;18;7740;8463;77;18;6114;8463;77
1677;6975;9;2917;3893;35;7;1878;3893;35
1489;3421;9;3043;3458;34;7;1770;3458;34
8256;664;17;7335;7329;69;22;6268;7329;69
2076;3862;10;3266;4563;42;8;2628;4563;42
3200;5876;16;7112;5599;47;12;3596;5599;47
2082;738;4;1429;2385;22;5;873;2385;22
5080;9985;5;1928;3531;32;3;1195;3531;32
6115;524;16;6262;4988;48;11;3204;4988;48
1262;1331;9;2416;2952;26;3;858;2952;26
9111;6412;13;5138;5571;53;12;3510;5571;53
5308;2520;14;4503;4040;36;10;2312;4040;36
5110;866;17;4642;5895;49;13;4014;5895;49
8539;6393;20;9296;10336;96;20;6291;10336;96
4166;8604;25;9369;8717;77;22;6742;8717;77
7163;2863;11;4458;6354;60;14;3901;6354;60
6415;1540;7;2167;2935;27;4;1175;2935;27
8928;5936;1;630;2093;21;3;520;2093;21
4363;7785;9;3644;3927;35;7;2252;3927;35
9927;6661;16;6514;6667;64;15;4613;6667;64
4153;5433;20;9026;6473;61;15;4486;6473;62
7638;6233;5;1869;3761;37;5;1572;3761;37
1664;8920;0;6;146;3;1;9;146;3
6913;2448;14;5390;4588;43;10;2769;4588;43
1680;1247;7;2401;3964;40;7;2011;3964;40
1288;1057;16;7127;6804;61;19;5435;6804;61
4213;8324;8;1341;2308;25;2;722;2308;25
2382;6306;20;8637;6724;59;16;4869;6724;59
7909;8081;20;7324;6535;65;13;3743;6535;65
7428;7198;20;8086;7612;72;18;5679;7612;72
8073;4212;6;2103;3043;30;4;1308;3043;30
9988;2086;16;6920;8018;70;19;5942;8018;74
5624;2659;7;2199;2796;26;3;1140;2796;26
1722;8609;7;2158;3887;38;6;1915;3887;38
4110;9273;10;3261;4607;39;8;2098;4607;39
3292;3857;19;8845;8484;80;20;6458;8484;80
6955;7809;5;1284;2128;22;3;752;2128;22
3227;1316;16;6084;6243;55;12;3518;6243;55
8552;5022;14;5213;4438;48;8;2492;4438;48
1153;4771;20;9207;10278;96;21;7026;10278;96
213;6821;17;6570;5087;43;11;3535;5087;43
2410;9819;20;9475;9356;84;18;5873;9356;84
2254;8696;12;4092;4016;35;10;2242;4016;35
208;533;14;5297;4535;41;6;1718;4535;41
796;2384;10;3524;4889;49;9;2991;4889;49
4766;3380;18;6652;8769;81;20;5948;8769;81
7511;5750;17;6745;5086;43;12;3658;5086;43
8486;4731;20;9187;8934;78;21;6807;8934;78
8649;8990;12;4805;5636;55;8;2368;5636;55
6910;5240;1;489;1345;15;2;274;1345;15
6174;6528;17;6939;7214;69;18;5721;7214;69
9076;1953;9;3077;4778;48;9;2692;4778;48
4232;9508;0;238;925;10;2;168;925;10
9427;602;10;3359;4093;33;7;1971;4093;33
3406;1962;14;5303;7545;70;14;4236;7545;70
670;5856;15;5225;4700;44;10;2822;4700;44
1748;915;19;4847;5868;49;13;4068;5868;49
5385;484;20;9648;8698;79;20;6653;8698;79
5014;6159;6;1999;4065;36;6;1726;4065;36
1335;2615;4;1261;2227;20;4;779;2227;20
2799;3508;12;4985;6269;61;12;3571;6269;61
4957;9999;12;4681;5054;53;12;3524;5054;53
7430;4407;11;3972;3784;38;7;1857;3784;38
8277;1667;18;7887;9062;85;21;6594;9062;85
119;3051;6;2314;2848;29;3;900;2848;29
4448;6905;8;2935;3848;35;7;1949;3848;35
3184;4931;20;9550;9560;88;23;5773;9560;88
2579;2313;18;5643;5209;50;12;3143;5209;50
1090;6613;8;2445;3610;31;6;1687;3610;31
1538;6286;9;2914;4735;40;9;2497;4735;40
3159;910;18;8182;8350;77;21;6313;8350;77
330;8089;2;853;2026;15;2;547;2026;15
6115;4796;3;816;1771;15;2;429;1771;15
7;1361;15;6488;6747;59;17;5450;6747;59
6002;6843;17;8140;8392;76;19;5891;8392;76
8198;4923;17;6999;7418;65;15;4650;7418;65
3649;7775;13;3976;4747;43;14;3163;4747;43
2709;7185;0;328;1423;13;2;217;1423;13
3513;6955;16;7188;7487;61;19;6182;7487;61
3447;4834;18;7960;9669;76;17;5958;9669;76
5990;5692;5;1362;2894;27;4;915;2894;27
675;8695;2;678;2748;25;3;622;2748;25
3879;1542;11;4319;3989;38;9;2221;3989;38
4700;9693;19;9413;9668;83;18;5681;9668;83
7854;8153;10;3206;3560;33;6;1391;3560;33
5340;740;12;4802;4221;35;9;2504;4221;35
6886;1758;19;9691;8840;82;18;5775;8840;82
233;147;16;6108;7274;67;15;4354;7274;66
3620;2244;17;7728;8248;74;15;4644;8248;74
9945;9477;11;3417;3525;35;5;1584;3525;35
7605;9313;20;7389;7390;66;16;5284;7390;66
3682;7316;11;3675;5810;56;10;3182;5810;56
6519;6839;9;3176;3876;36;7;1841;3876;36
538;3504;19;8872;8728;86;18;5335;8728;86
4133;5718;11;2936;4692;41;8;2154;4692;41
9805;3004;10;3009;4761;43;8;2458;4761;43
3546;2951;20;9828;9201;75;33;6568;9201;75
5693;9302;19;7110;6281;63;16;5107;6281;63
295;8108;14;5193;5049;49;14;3580;5049;49
8436;8257;18;6363;7752;68;17;4640;7752;68
3487;4530;14;5275;4854;51;9;2954;4854;51
4933;353;18;7352;8877;82;20;6068;8877;82
9167;5408;18;8429;9989;88;18;5951;9989;88
688;2050;20;9007;7568;68;18;5801;7568;68
2651;6559;2;404;1232;15;2;191;1232;15
6228;3877;3;1049;1998;17;3;422;1998;17
8484;6581;7;2296;2877;28;4;1186;2877;28
7118;7447;7;2475;3254;27;4;1115;3254;27
2309;1199;2;613;1959;20;2;411;1959;20
7808;5792;17;9086;9515;86;20;6691;9515;86
2333;3851;5;1895;3520;36;6;1304;3520;36
1629;1653;13;4225;4891;40;12;2832;4891;40
7591;9551;14;5237;7300;66;14;4299;7300;66
