n°	source	destination	distance	nb itérations simple	nb itérations bidir	temps simple (ms)	temps bidir (ms)
294	8768	1329	6766	7075	5248	50.9545	43.1131
295	9123	5410	6477	5309	4088	38.3804	35.9921
296	8998	7663	5755	4411	3653	33.4707	29.8357
297	6591	3813	3612	3535	1480	35.7427	16.4422
298	182	5865	7103	7866	6128	61.9593	49.2523
299	9325	8350	5183	4874	2864	36.1639	23.2441
300	8088	67	9609	8502	5234	60.9484	41.7414
301	1038	2681	9582	8119	5588	57.4985	44.6988
302	6637	3022	9015	7741	6529	55.4659	51.6597
303	369	2414	8861	8677	6325	64.3952	49.082
304	7733	6798	2135	1186	698	8.9065	6.454
305	4890	908	7216	5931	4584	44.0196	36.8448
306	1565	877	5946	6713	3855	50.8974	30.5226
307	8575	1781	7615	5782	5207	41.69	43.2025
308	4885	3259	7152	5558	4813	42.4114	39.5068
309	4124	7669	7640	7879	5406	57.7262	45.7928
310	5648	3232	9658	9177	6988	67.8542	54.1962
311	3126	927	6296	5774	3579	43.185	28.5983
312	1893	3792	8565	8139	5892	59.2529	45.7944
313	764	8070	4350	2410	2032	18.596	16.4496
314	8786	3434	7236	8255	5057	59.3465	39.6318
315	458	3222	7647	6512	4733	47.8632	37.6576
316	6656	8509	9525	8687	6802	62.1087	53.4679
317	8631	1677	2857	2296	1133	17.8611	9.7634
318	5633	712	2106	1214	672	9.5249	5.6786
319	7647	8809	9090	9483	6991	66.6255	54.6303
320	3782	3500	3051	2506	1082	22.5961	8.8327
321	1051	5566	6222	6475	3834	48.0483	31.8004
322	2525	7407	8602	6321	4913	48.0444	41.5139
323	7131	4916	2711	1214	930	9.8745	8.2464
324	2584	8704	2956	2464	927	20.4433	8.0214
325	1669	8971	2940	2306	1241	17.8169	10.4447
326	6025	2	3535	3203	1792	25.241	15.1173
327	7319	5212	6453	3743	3341	28.0764	26.9173
328	2265	3128	5229	4348	3081	33.4765	24.5091
329	2521	622	9806	8359	5922	59.9783	46.7835
330	5752	4267	8896	7573	6460	54.6082	50.0504
331	6366	6562	4498	5174	2862	38.2638	23.4782
332	7534	1355	2315	1484	757	11.326	6.8386
333	1721	6299	9421	9110	6721	64.4765	51.643
334	8256	9599	8004	8407	5630	59.8547	45.7044
335	77	6749	2901	2235	914	16.9325	7.6864
336	6206	3994	3524	2270	1429	17.0727	11.804
337	6428	2465	3999	4524	2032	36.8908	17.9947
338	7738	9149	3356	2932	1540	23.5284	12.9462
339	5281	930	4434	3365	2487	24.747	20.6889
340	8019	3779	8305	7348	5774	56.1533	49.9036
341	25	2839	3499	3425	1668	28.1674	20.2811
342	8143	236	2039	564	392	4.1563	3.469
343	3259	2717	4362	3825	2779	28.9543	25.9042
344	3271	2890	6024	5116	3607	37.1688	34.4598
345	825	5825	8640	7948	6716	57.3161	54.2384
346	3228	8050	3191	2841	1110	21.7043	9.1871
347	6782	263	5142	4866	3005	36.1345	24.2327
348	199	1231	8480	9577	5932	67.1016	48.3893
349	6807	7353	9781	9178	7261	65.0318	56.0358
350	30	2889	8259	8464	6441	60.7709	49.3896
351	895	5055	4932	6093	3457	48.0083	29.0881
352	8995	9308	3987	3447	2313	25.9282	20.4505
353	7155	2600	6014	5532	4281	42.5336	35.3786
354	342	201	5125	4856	3693	37.887	29.9126
355	1268	5699	5868	7021	3386	52.7525	26.8973
356	2427	838	4259	3280	2257	24.4435	18.8384
357	6234	7884	8741	8114	6511	59.0021	52.2055
358	7142	4274	3345	3133	1356	23.1731	11.6835
359	6789	9958	8340	9295	6531	65.4909	51.6843
360	195	6937	3845	2244	1531	17.1699	14.2656
361	1359	9969	4160	4535	1869	33.1902	15.556
362	6306	9856	9162	8781	6411	66.0517	50.0734
363	6878	3561	8066	6096	4356	45.4845	34.0648
364	8767	398	7313	7381	4801	53.3922	37.75
365	342	123	8033	9028	6053	67.3433	47.0932
366	1744	5992	9310	9421	5442	86.0026	47.7311
367	298	1204	9236	9985	5873	70.675	45.0479
368	4983	3031	3557	2150	1629	16.6201	13.6059
369	642	6343	7039	6677	5540	49.7504	43.372
370	55	5255	8643	7390	4209	55.2834	32.7985
371	5369	2443	6571	6111	5177	46.0084	39.9439
372	5124	2271	8870	7641	6070	55.6966	46.459
373	3854	1743	3389	2486	1586	20.3566	12.985
374	8803	7592	5035	6640	3266	49.6537	26.3132
375	8378	1131	10930	9593	7407	67.9153	59.3212
376	2576	2235	7942	7679	6168	57.5186	49.318
377	9601	8916	2594	1618	838	12.5159	7.0413
378	6287	2716	9659	7086	5636	55.4527	45.3666
379	7921	3371	6426	8964	3726	64.2387	29.9683
380	2842	2285	8142	9564	5976	68.2018	48.2568
381	1992	4180	7368	8489	5651	63.9796	48.6517
382	4937	8960	2113	1249	635	9.0786	5.5923
383	5314	3150	4482	2395	2059	18.6112	16.7549
384	511	2077	7902	8435	6161	65.9222	48.1484
385	2463	7923	3347	3007	1091	24.034	9.1157
386	4401	9772	6316	5549	4417	41.3378	36.6435
387	5987	3133	8366	7920	6752	58.3867	54.3877
388	2849	320	6591	9528	4132	71.0624	33.4098
389	4167	963	3754	2873	1899	22.013	16.1663
390	7897	2257	9215	9205	7019	69.3894	57.2419
391	9870	9775	6948	7043	4809	50.5883	39.1603
392	5220	1203	1162	389	185	3.0291	1.9431
393	6962	350	3821	2657	1998	20.3076	16.3468
394	3446	8216	10070	9391	6804	73.538	54.5645
395	2508	1347	6669	5446	4323	40.8049	34.1891
396	9995	1471	4413	4027	2149	33.1189	17.6478
397	1970	6040	10868	9706	7566	67.779	59.8384
398	7757	3303	6642	8140	4952	59.1951	38.2913
399	7002	2706	696	134	73	1.231	0.9928
400	6351	1428	8601	8304	6012	59.8566	46.6487
401	3693	975	7907	6495	3911	47.7839	33.792
402	2806	6412	7845	7339	6111	54.3008	47.9571
403	2183	2255	3352	1172	843	8.6364	9.7503
404	7064	8159	3895	4049	2149	33.1863	17.822
405	6971	61	4599	4093	2383	31.1227	21.174
406	7692	6385	1868	727	479	5.7775	4.7049
407	6515	1016	6143	5181	3974	40.9891	32.1574
408	8961	9766	7756	9171	5849	64.4222	47.2971
409	4789	4370	7380	7535	4140	53.492	34.4675
410	8859	6984	3222	1402	1198	11.048	9.8648
411	1602	8916	708	150	82	1.1619	1.1326
412	9688	7592	5390	3140	2592	23.7466	20.4421
413	5192	1900	2887	1021	822	8.6756	6.7628
414	4512	7711	4338	4860	1848	37.4093	14.9013
415	7495	1092	1780	866	500	6.8224	4.3593
416	2011	63	9664	8686	6883	63.0408	53.2865
417	1360	4976	2850	2079	1178	17.1118	10.0259
418	3628	5899	7632	6021	4772	44.0627	38.7745
419	9736	9332	7797	9449	5274	66.1223	44.1731
420	75	1199	8463	7736	6113	56.139	49.0526
421	1677	6975	3893	2917	1877	23.1121	16.6441
422	1489	3421	3458	3043	1763	24.6719	14.935
423	8256	664	7329	7333	6268	53.7321	50.3249
424	2076	3862	4563	3267	2627	23.9803	20.7948
425	3200	5876	5599	7111	3595	52.3982	28.5926
426	2082	738	2385	1429	872	11.2128	7.3983
427	5080	9985	3531	1929	1198	15.961	9.9323
428	6115	524	4988	6262	3203	45.8715	25.826
429	1262	1331	2952	2415	857	19.4414	7.4932
430	9111	6412	5571	5137	3509	37.6498	27.9879
431	5308	2520	4040	4503	2311	34.7556	19.4846
432	5110	866	5895	4642	4015	35.1526	33.185
433	8539	6393	10336	9296	6290	67.4143	49.6386
434	4166	8604	8717	9369	6741	66.0674	51.9153
435	7163	2863	6354	4458	3902	38.505	31.0082
436	6415	1540	2935	2166	1174	16.7256	9.9121
437	8928	5936	2093	630	519	4.7176	4.6386
438	4363	7785	3927	3644	2251	30.2621	26.4886
439	9927	6661	6667	6515	4614	53.6361	39.1743
440	4153	5433	6473	9026	4485	63.7698	36.7711
441	7638	6233	3761	1867	1571	14.4173	12.8952
442	1664	8920	146	6	8	0.0696	0.5369
443	6913	2448	4588	5390	2768	40.7453	22.7362
444	1680	1247	3964	2401	2010	18.4634	16.4969
445	1288	1057	6804	7126	5434	52.0726	43.2239
446	4213	8324	2308	1341	719	10.6059	6.0034
447	2382	6306	6724	8638	4868	61.9373	38.0138
448	7909	8081	6535	7325	3742	53.8272	29.7085
449	7428	7198	7612	8086	5676	59.2379	47.0517
450	8073	4212	3043	2102	1307	17.1351	10.5354
451	9988	2086	8018	6918	5941	49.579	49.3711
452	5624	2659	2796	2198	1139	16.8677	10.1496
453	1722	8609	3887	2160	1914	17.0439	15.7197
454	4110	9273	4607	3261	2099	25.795	17.4006
455	3292	3857	8484	8845	6457	68.0	52.0312
456	6955	7809	2128	1284	751	9.7852	6.634
457	3227	1316	6243	6083	3517	47.2176	28.2838
458	8552	5022	4438	5213	2493	39.1117	20.2126
459	1153	4771	10278	9208	7027	65.1564	54.451
460	213	6821	5087	6570	3532	48.8541	28.5536
461	2410	9819	9356	9475	5868	66.7852	45.1547
462	2254	8696	4016	4091	2241	33.3287	18.839
463	208	533	4535	5297	1717	39.4045	13.8497
464	796	2384	4889	3524	2992	27.7196	24.0669
465	4766	3380	8769	6652	5947	48.1346	48.5053
466	7511	5750	5086	6745	3653	49.4613	33.0809
467	8486	4731	8934	9187	6806	65.1778	55.6832
468	8649	8990	5636	4806	2367	38.0212	20.8669
469	6910	5240	1345	489	271	4.397	2.7993
470	6174	6528	7214	6939	5722	51.245	49.6343
471	9076	1953	4778	3076	2693	31.3466	26.8277
472	4232	9508	925	240	167	2.3958	2.2307
473	9427	602	4093	3359	1970	32.6695	22.263
474	3406	1962	7545	5303	4235	49.2869	41.2587
475	670	5856	4700	5225	2825	48.9152	45.5579
476	1748	915	5868	4845	4065	48.7136	34.6274
477	5385	484	8698	9648	6652	71.5463	52.7334
478	5014	6159	4065	1999	1725	14.8395	14.2151
479	1335	2615	2227	1260	776	11.4654	6.7149
480	2799	3508	6269	4985	3570	41.0367	28.8089
481	4957	9999	5054	4681	3523	36.3461	30.2679
482	7430	4407	3784	3974	1854	30.7464	15.0551
483	8277	1667	9062	7886	6590	58.4772	56.3369
484	119	3051	2848	2313	897	18.1067	7.9624
485	4448	6905	3848	2935	1946	22.9566	16.4772
486	3184	4931	9560	9550	5774	92.557	50.6196
487	2579	2313	5209	5644	3138	45.9929	26.8209
488	1090	6613	3610	2445	1686	20.6588	13.9684
489	1538	6286	4735	2914	2496	24.923	21.6886
490	3159	910	8350	8182	6314	65.1749	52.4891
491	330	8089	2026	853	546	7.1164	4.6868
492	6115	4796	1771	817	428	6.5887	5.5794
493	7	1361	6747	6485	5449	48.0879	44.7352
494	6002	6843	8392	8140	5888	64.2014	51.228
495	8198	4923	7418	6999	4645	56.5821	38.5344
496	3649	7775	4747	3976	3162	32.6063	25.884
497	2709	7185	1423	328	214	2.5613	2.4725
498	3513	6955	7487	7188	6181	55.1838	57.5417
499	3447	4834	9669	7959	5959	60.1802	47.5691
500	5990	5692	2894	1362	916	12.1599	8.3204
501	675	8695	2748	681	617	6.5025	5.9062
502	3879	1542	3989	4319	2220	34.1214	20.1962
503	4700	9693	9668	9413	5680	97.3474	77.1696
504	7854	8153	3560	3206	1390	36.7917	16.7696
505	5340	740	4221	4801	2503	42.3298	23.9491
506	6886	1758	8840	9691	5774	70.9757	50.7291
507	233	147	7274	6108	4353	50.7291	36.8924
508	3620	2244	8248	7729	4643	57.0025	42.2943
509	9945	9477	3525	3418	1585	33.8883	23.2346
