source;target;path length;path weight;Dijkstra time;Dijkstra iteration;Bidirectional Dijkstra time;Bidirectional Dijkstra iteration;
3184;4931;1;0;;23;4712;21;3502
2579;2313;1;0;;17;4712;11;3502
1090;6613;1;0;;9;4712;7;3502
1538;6286;1;0;;9;4712;12;3502
3159;910;1;0;;21;4712;22;3502
330;8089;1;0;;4;4712;3;3502
6115;4796;1;0;;2;4712;2;3502
7;1361;1;0;;19;4712;22;3502
6002;6843;1;0;;24;4712;20;3502
8198;4923;1;0;;20;4712;17;3502
3649;7775;1;0;;13;4712;12;3502
2709;7185;1;0;;2;4712;1;3502
3513;6955;1;0;;18;4712;23;3502
3447;4834;1;0;;20;4712;20;3502
5990;5692;1;0;;4;4712;5;3502
675;8695;1;0;;2;4712;2;3502
3879;1542;1;0;;15;4712;10;3502
4700;9693;1;0;;23;4712;23;3502
7854;8153;1;0;;11;4712;6;3502
5340;740;1;0;;16;4712;10;3502
6886;1758;1;0;;23;4712;20;3502
233;147;1;0;;18;4712;16;3502
3620;2244;1;0;;20;4712;16;3502
9945;9477;1;0;;12;4712;6;3502
7605;9313;1;0;;19;4712;19;3502
3682;7316;1;0;;11;4712;16;3502
6519;6839;1;0;;10;4712;7;3502
538;3504;1;0;;21;4712;18;3502
4133;5718;1;0;;9;4712;9;3502
9805;3004;1;0;;9;4712;10;3502
3546;2951;1;0;;21;4712;22;3502
5693;9302;1;0;;22;4712;19;3502
295;8108;1;0;;15;4712;14;3502
8436;8257;1;0;;16;4712;16;3502
3487;4530;1;0;;19;4712;12;3502
4933;353;1;0;;20;4712;20;3502
9167;5408;1;0;;23;4712;23;3502
688;2050;1;0;;22;4712;21;3502
2651;6559;1;0;;3;4712;1;3502
6228;3877;1;0;;5;4712;2;3502
8484;6581;1;0;;9;4712;5;3502
7118;7447;1;0;;7;4712;6;3502
2309;1199;1;0;;3;4712;2;3502
7808;5792;1;0;;22;4712;26;3502
2333;3851;1;0;;7;4712;5;3502
1629;1653;1;0;;14;4712;11;3502
7591;9551;1;0;;16;4712;16;3502
8417;7195;1;0;;14;4712;14;3502
6228;7610;1;0;;22;4712;25;3502
782;3577;1;0;;18;4712;11;3502
8907;7189;1;0;;20;4712;23;3502
5473;5816;1;0;;10;4712;7;3502
6279;6614;1;0;;18;4712;13;3502
1698;1722;1;0;;23;4712;16;3502
4382;6081;1;0;;16;4712;12;3502
9322;2644;1;0;;7;4712;8;3502
6545;5274;1;0;;16;4712;11;3502
255;5385;1;0;;19;4712;14;3502
3663;2347;1;0;;23;4712;26;3502
1803;8116;1;0;;11;4712;7;3502
1813;9646;1;0;;26;4712;22;3502
6651;8897;1;0;;1;4712;0;3502
4528;4665;1;0;;19;4712;22;3502
195;361;1;0;;21;4712;22;3502
9363;6980;1;0;;20;4712;15;3502
927;4201;1;0;;22;4712;23;3502
6340;3095;1;0;;10;4712;8;3502
2756;9870;1;0;;21;4712;22;3502
2704;9604;1;0;;15;4712;9;3502
3380;6638;1;0;;21;4712;18;3502
4383;7342;1;0;;11;4712;9;3502
8928;70;1;0;;20;4712;25;3502
6754;3781;1;0;;15;4712;15;3502
2313;1292;1;0;;21;4712;20;3502
8777;8751;1;0;;9;4712;15;3502
5743;1808;1;0;;22;4712;21;3502
7537;9669;1;0;;15;4712;6;3502
9114;2836;1;0;;18;4712;14;3502
3450;6903;1;0;;2;4712;3;3502
9879;4405;1;0;;3;4712;1;3502
7383;2413;1;0;;15;4712;8;3502
3978;2036;1;0;;21;4712;17;3502
207;7739;1;0;;11;4712;12;3502
9586;7718;1;0;;20;4712;21;3502
5072;3439;1;0;;19;4712;15;3502
9946;1444;1;0;;15;4712;16;3502
531;9307;1;0;;27;4712;15;3502
3307;4720;1;0;;3;4712;1;3502
874;9305;1;0;;17;4712;11;3502
4063;8373;1;0;;1;4712;2;3502
7638;9520;1;0;;18;4712;17;3502
8960;25;1;0;;13;4712;11;3502
7510;4562;1;0;;19;4712;23;3502
6495;4018;1;0;;24;4712;19;3502
9705;9807;1;0;;22;4712;20;3502
4625;1633;1;0;;1;4712;0;3502
1397;42;1;0;;4;4712;3;3502
8147;1360;1;0;;14;4712;14;3502
1472;1205;1;0;;5;4712;4;3502
